character_vector
PROTAGONIST
cedric
rosaria
franky
irina
beckmesser
boy
marco
manco
camille
candido
madame
irene
camilla
dee
gypsy
andy
k’ak’a
mil
carmine
elinor
nim
vaya
alex
gitana
maria
eleanor
miguel
véloce
matador
guatavita
gurula
pacha
wenceslao
