Source,Target,Weight,Interval
k’ak’a,manco,0.44303393748949055,5
camille,carmine,0.42507858842858093,5
candido,franky,0.20722011739804044,5
madame,franky,0.18574538408502886,5
rosaria,madame,0.18574538408502886,5
carmine,franky,0.16878652038026362,5
madame,candido,0.16132491384369524,5
irene,boy,0.15722476321567255,5
carmine,candido,0.14569014716400736,5
carmine,madame,0.12815684658430454,5
elinor,boy,0.11748539016153646,5
andy,boy,0.11748539016153646,5
pacha,protagonist,0.1037087501149422,5
boy,franky,0.0922721569239401,5
boy,candido,0.07401805851129839,5
elinor,protagonist,0.0692978050638895,5
boy,madame,0.059761430466719674,5
boy,carmine,0.04806580133202482,5
candido,protagonist,0.029683309247701014,5
carmine,protagonist,0.00461531542091493,5
camilla,k’ak’a,-0.004651162790697674,5
gypsy,k’ak’a,-0.004651162790697674,5
gypsy,camilla,-0.004651162790697674,5
pacha,k’ak’a,-0.0065930881328870195,5
irene,k’ak’a,-0.0065930881328870195,5
camilla,pacha,-0.0065930881328870195,5
gypsy,pacha,-0.0065930881328870195,5
irene,camilla,-0.0065930881328870195,5
gypsy,irene,-0.0065930881328870195,5
boy,protagonist,-0.007681661876865261,5
camille,k’ak’a,-0.008093783730755902,5
elinor,k’ak’a,-0.008093783730755902,5
andy,k’ak’a,-0.008093783730755902,5
camilla,camille,-0.008093783730755902,5
gypsy,camille,-0.008093783730755902,5
camilla,elinor,-0.008093783730755902,5
gypsy,elinor,-0.008093783730755902,5
andy,camilla,-0.008093783730755902,5
gypsy,andy,-0.008093783730755902,5
irene,pacha,-0.009345794392523367,5
vaya,k’ak’a,-0.00936791270794779,5
franky,k’ak’a,-0.00936791270794779,5
rosaria,k’ak’a,-0.00936791270794779,5
camilla,vaya,-0.00936791270794779,5
gypsy,vaya,-0.00936791270794779,5
camilla,franky,-0.00936791270794779,5
gypsy,franky,-0.00936791270794779,5
camilla,rosaria,-0.00936791270794779,5
gypsy,rosaria,-0.00936791270794779,5
camilla,manco,-0.01049843453766565,5
gypsy,manco,-0.01049843453766565,5
candido,k’ak’a,-0.01049843453766565,5
camilla,candido,-0.01049843453766565,5
gypsy,candido,-0.01049843453766565,5
camille,pacha,-0.011473051335061164,5
elinor,pacha,-0.011473051335061164,5
andy,pacha,-0.011473051335061164,5
irene,camille,-0.011473051335061164,5
irene,elinor,-0.011473051335061164,5
andy,irene,-0.011473051335061164,5
madame,k’ak’a,-0.011527808354084698,5
camilla,madame,-0.011527808354084698,5
gypsy,madame,-0.011527808354084698,5
carmine,k’ak’a,-0.012481208753051231,5
camilla,carmine,-0.012481208753051231,5
gypsy,carmine,-0.012481208753051231,5
pacha,vaya,-0.0132791469325088,5
irene,vaya,-0.0132791469325088,5
pacha,franky,-0.0132791469325088,5
irene,franky,-0.0132791469325088,5
rosaria,pacha,-0.0132791469325088,5
irene,rosaria,-0.0132791469325088,5
elinor,camille,-0.014084507042253518,5
andy,camille,-0.014084507042253518,5
andy,elinor,-0.014084507042253518,5
pacha,manco,-0.014881677395297548,5
irene,manco,-0.014881677395297548,5
pacha,candido,-0.014881677395297548,5
irene,candido,-0.014881677395297548,5
camille,vaya,-0.016301699785346797,5
elinor,vaya,-0.016301699785346797,5
andy,vaya,-0.016301699785346797,5
camille,franky,-0.016301699785346797,5
elinor,franky,-0.016301699785346797,5
andy,franky,-0.016301699785346797,5
camille,rosaria,-0.016301699785346797,5
elinor,rosaria,-0.016301699785346797,5
andy,rosaria,-0.016301699785346797,5
madame,pacha,-0.01634082913836501,5
irene,madame,-0.01634082913836501,5
carmine,pacha,-0.017692287502472953,5
irene,carmine,-0.017692287502472953,5
camille,manco,-0.018268992611763284,5
elinor,manco,-0.018268992611763284,5
andy,manco,-0.018268992611763284,5
camille,candido,-0.018268992611763284,5
elinor,candido,-0.018268992611763284,5
andy,candido,-0.018268992611763284,5
franky,vaya,-0.018867924528301886,5
rosaria,vaya,-0.018867924528301886,5
rosaria,franky,-0.018867924528301886,5
boy,k’ak’a,-0.019289712886816485,5
camilla,boy,-0.019289712886816485,5
gypsy,boy,-0.019289712886816485,5
camille,madame,-0.02006027135712598,5
elinor,madame,-0.02006027135712598,5
andy,madame,-0.02006027135712598,5
vaya,manco,-0.02114490993857555,5
franky,manco,-0.02114490993857555,5
rosaria,manco,-0.02114490993857555,5
candido,vaya,-0.02114490993857555,5
rosaria,candido,-0.02114490993857555,5
elinor,carmine,-0.021719343934307054,5
andy,carmine,-0.021719343934307054,5
madame,vaya,-0.0232181730106286,5
candido,manco,-0.023696682464454975,5
carmine,vaya,-0.025138417928975434,5
rosaria,carmine,-0.025138417928975434,5
madame,manco,-0.02602014739414439,5
protagonist,k’ak’a,-0.026857090692823136,5
camilla,protagonist,-0.026857090692823136,5
gypsy,protagonist,-0.026857090692823136,5
boy,pacha,-0.027343437080986528,5
carmine,manco,-0.0281721279046423,5
camille,boy,-0.03356725433186755,5
irene,protagonist,-0.038070300675105376,5
boy,vaya,-0.038851434494290564,5
rosaria,boy,-0.038851434494290564,5
boy,manco,-0.0435400344184108,5
camille,protagonist,-0.04673572899657664,5
andy,protagonist,-0.04673572899657664,5
protagonist,vaya,-0.0540928994579579,5
franky,protagonist,-0.0540928994579579,5
rosaria,protagonist,-0.0540928994579579,5
protagonist,manco,-0.06062084282981192,5
madame,protagonist,-0.06656472980785444,5
