Source,Target,Weight,Interval
boy,rosaria,0.28787655255356775,2
franky,candido,0.28667274904193984,2
franky,boy,0.25163995111040294,2
gypsy,rosaria,0.24742325776823593,2
franky,gypsy,0.22909677131103584,2
protagonist,boy,0.1718513645458592,2
franky,irina,0.16896859230477207,2
boy,candido,0.1538310978754451,2
irina,rosaria,0.15139927728530506,2
mil,irina,0.14864864864864866,2
boy,gypsy,0.1438654460595319,2
madame,boy,0.13728915216120133,2
mil,boy,0.13728915216120133,2
candido,gypsy,0.1200162801290423,2
boy,irina,0.08414496422783309,2
gypsy,irina,0.08305132462834366,2
véloce,irina,0.07981503584333674,2
madame,rosaria,0.06595612079755864,2
mil,rosaria,0.06595612079755864,2
protagonist,rosaria,0.05874185691739735,2
franky,rosaria,0.0571781480989436,2
candido,irina,0.05226661252109576,2
protagonist,franky,4.6824279827769645e-4,2
madame,véloce,-0.011008970461149896,2
mil,véloce,-0.011008970461149896,2
mil,madame,-0.013513513513513514,2
protagonist,gypsy,-0.018181879513948996,2
véloce,gypsy,-0.019331116825676474,2
boy,véloce,-0.023451267038538344,2
madame,gypsy,-0.023728949893812475,2
mil,gypsy,-0.023728949893812475,2
franky,véloce,-0.02439413126887274,2
candido,véloce,-0.02620290332789795,2
madame,franky,-0.029943801167934287,2
mil,franky,-0.029943801167934287,2
madame,candido,-0.03216406924375123,2
mil,candido,-0.03216406924375123,2
véloce,rosaria,-0.037856682112474276,2
protagonist,véloce,-0.03856194234454183,2
madame,protagonist,-0.04733479218781235,2
mil,protagonist,-0.04733479218781235,2
madame,irina,-0.05405405405405407,2
candido,rosaria,-0.06043025746932182,2
protagonist,candido,-0.06315316471465592,2
protagonist,irina,-0.08949234148008273,2
