Source,Target,Weight,Interval
nim,boy,0.5717718748968655,10
gitana,gypsy,0.4385290096535145,10
nim,gitana,0.4385290096535145,10
cedric,protagonist,0.23215240003520374,10
boy,gitana,0.23008949665421113,10
camille,boy,0.23008949665421113,10
marco,cedric,0.19214253353608038,10
cedric,camille,0.0798023875121013,10
nim,gypsy,-0.009615384615384614,10
irina,gypsy,-0.009615384615384614,10
irina,nim,-0.009615384615384614,10
marco,gypsy,-0.013664058598604922,10
marco,nim,-0.013664058598604922,10
irina,marco,-0.013664058598604922,10
boy,gypsy,-0.01681681984990781,10
irina,boy,-0.01681681984990781,10
protagonist,gypsy,-0.021926450482675733,10
camille,gypsy,-0.021926450482675733,10
irina,gitana,-0.021926450482675733,10
protagonist,nim,-0.021926450482675733,10
camille,nim,-0.021926450482675733,10
irina,protagonist,-0.021926450482675733,10
irina,camille,-0.021926450482675733,10
marco,boy,-0.023897745234617566,10
marco,gitana,-0.0311588476424878,10
marco,protagonist,-0.0311588476424878,10
marco,camille,-0.0311588476424878,10
cedric,gypsy,-0.031814238148788886,10
cedric,nim,-0.031814238148788886,10
irina,cedric,-0.031814238148788886,10
protagonist,boy,-0.03834824944236852,10
protagonist,gitana,-0.049999999999999996,10
camille,gitana,-0.049999999999999996,10
camille,protagonist,-0.049999999999999996,10
cedric,boy,-0.055641488407465724,10
cedric,gitana,-0.07254762501100115,10
