Source,Target,Weight,Interval
gypsy,franky,0.20017752139298775,1
candido,madame,0.16889168234541616,1
madame,boy,0.14878321164216377,1
gypsy,madame,0.10102891966698074,1
franky,boy,0.09872141900037691,1
candido,boy,0.06931449039311766,1
gypsy,boy,0.0686462837693162,1
madame,franky,0.04337058297509554,1
matador,boy,0.02417812355726674,1
véloce,rosaria,-0.007582941795082543,1
rosaria,matador,-0.010782023669543773,1
gypsy,rosaria,-0.013277586148895919,1
véloce,matador,-0.015289018630918963,1
madame,rosaria,-0.016397360164631846,1
candido,rosaria,-0.01733281874884197,1
véloce,gypsy,-0.018827751470952853,1
rosaria,franky,-0.01909472841856377,1
véloce,madame,-0.02325162258390338,1
candido,véloce,-0.024578112319113433,1
gypsy,matador,-0.02677077940064704,1
véloce,franky,-0.027076518053694112,1
rosaria,protagonist,-0.02797453611173012,1
madame,matador,-0.03306098765224873,1
franky,protagonist,-0.03468370615687639,1
candido,matador,-0.03494709519585622,1
rosaria,boy,-0.03497578764768018,1
matador,franky,-0.0384995251754509,1
véloce,protagonist,-0.03966817518790096,1
candido,gypsy,-0.04303580490435722,1
véloce,boy,-0.04959602068830133,1
matador,protagonist,-0.05640333466372089,1
candido,franky,-0.06189054227988029,1
gypsy,protagonist,-0.06945821656819365,1
madame,protagonist,-0.0857784977396947,1
candido,protagonist,-0.09067210446941236,1
protagonist,boy,-0.10106730799545036,1
