Source,Target,Weight,Interval
candido,andy,0.7052033947429559,9
candido,irina,0.7052033947429559,9
gurula,elinor,0.5742378461427392,9
irina,andy,0.4945945945945947,9
candido,franky,0.44237871188743116,9
boy,camilla,0.37598146813217287,9
camilla,marco,0.32672192692049246,9
rosaria,candido,0.32608609076469836,9
mil,rosaria,0.32608609076469836,9
vaya,rosaria,0.32608609076469836,9
boy,marco,0.3243601191508188,9
andy,franky,0.305036429049422,9
irina,franky,0.305036429049422,9
candido,irene,0.2800089604301029,9
marco,cedric,0.27176469917480733,9
camilla,irene,0.2681462924562276,9
andy,protagonist,0.26467726395377084,9
gypsy,marco,0.24829165414832866,9
franky,protagonist,0.22711105854353777,9
rosaria,andy,0.21951013998330027,9
rosaria,irina,0.21951013998330027,9
elinor,protagonist,0.19997427818136107,9
boy,irene,0.1985714285714285,9
candido,protagonist,0.18665130505147656,9
gurula,protagonist,0.18665130505147656,9
andy,irene,0.1849171089822064,9
irina,irene,0.1849171089822064,9
boy,andy,0.1849171089822064,9
boy,cedric,0.1776898193513139,9
elinor,rosaria,0.17014499873822994,9
marco,irene,0.16368371575690324,9
rosaria,irene,0.14502428513609122,9
camilla,cedric,0.14345293069415127,9
elinor,boy,0.14024835016479714,9
candido,cedric,0.1383655671038825,9
madame,cedric,0.1383655671038825,9
rosaria,franky,0.11760787211926152,9
irina,protagonist,0.11191600358539075,9
irene,franky,0.09186992829973262,9
marco,franky,0.07309496685876177,9
irene,cedric,0.07220411706974025,9
andy,cedric,0.07055374657365288,9
irina,cedric,0.07055374657365288,9
boy,rosaria,0.04307112227726016,9
irene,protagonist,0.02537432866043287,9
rosaria,cedric,0.0016146202398111408,9
gypsy,candido,-0.005376344086021504,9
gurula,candido,-0.005376344086021504,9
mil,candido,-0.005376344086021504,9
madame,candido,-0.005376344086021504,9
vaya,candido,-0.005376344086021504,9
gurula,gypsy,-0.005376344086021504,9
mil,gypsy,-0.005376344086021504,9
madame,gypsy,-0.005376344086021504,9
vaya,gypsy,-0.005376344086021504,9
mil,gurula,-0.005376344086021504,9
madame,gurula,-0.005376344086021504,9
vaya,gurula,-0.005376344086021504,9
madame,mil,-0.005376344086021504,9
vaya,mil,-0.005376344086021504,9
vaya,madame,-0.005376344086021504,9
candido,eleanor,-0.00762382048370763,9
gypsy,eleanor,-0.00762382048370763,9
gurula,eleanor,-0.00762382048370763,9
mil,eleanor,-0.00762382048370763,9
madame,eleanor,-0.00762382048370763,9
vaya,eleanor,-0.00762382048370763,9
gypsy,andy,-0.00762382048370763,9
gurula,andy,-0.00762382048370763,9
mil,andy,-0.00762382048370763,9
madame,andy,-0.00762382048370763,9
vaya,andy,-0.00762382048370763,9
gypsy,irina,-0.00762382048370763,9
gurula,irina,-0.00762382048370763,9
mil,irina,-0.00762382048370763,9
madame,irina,-0.00762382048370763,9
vaya,irina,-0.00762382048370763,9
franky,cedric,-0.007712291793731166,9
elinor,candido,-0.009362573578414227,9
elinor,gypsy,-0.009362573578414227,9
mil,elinor,-0.009362573578414227,9
madame,elinor,-0.009362573578414227,9
vaya,elinor,-0.009362573578414227,9
andy,eleanor,-0.010810810810810811,9
irina,eleanor,-0.010810810810810811,9
gypsy,franky,-0.012153261315588765,9
gurula,franky,-0.012153261315588765,9
mil,franky,-0.012153261315588765,9
madame,franky,-0.012153261315588765,9
vaya,franky,-0.012153261315588765,9
elinor,eleanor,-0.013276415922284169,9
elinor,andy,-0.013276415922284169,9
elinor,irina,-0.013276415922284169,9
rosaria,protagonist,-0.014918488681570986,9
camilla,candido,-0.015501081722602249,9
gypsy,camilla,-0.015501081722602249,9
gurula,camilla,-0.015501081722602249,9
mil,camilla,-0.015501081722602249,9
madame,camilla,-0.015501081722602249,9
vaya,camilla,-0.015501081722602249,9
gypsy,rosaria,-0.01648749897124879,9
gurula,rosaria,-0.01648749897124879,9
madame,rosaria,-0.01648749897124879,9
franky,eleanor,-0.01723369655646452,9
gypsy,irene,-0.019200614429492772,9
gurula,irene,-0.019200614429492772,9
mil,irene,-0.019200614429492772,9
madame,irene,-0.019200614429492772,9
vaya,irene,-0.019200614429492772,9
boy,candido,-0.019200614429492772,9
