Source,Target,Weight,Interval
andy,maria,0.9999999999999999,6
candido,maria,0.9999999999999999,6
candido,andy,0.9999999999999999,6
maria,boy,0.7052033947429559,6
andy,boy,0.7052033947429559,6
candido,boy,0.7052033947429559,6
franky,maria,0.7052033947429559,6
franky,andy,0.7052033947429559,6
candido,franky,0.7052033947429559,6
camilla,carmine,0.5272497301964961,6
manco,maria,0.4959513503716709,6
andy,manco,0.4959513503716709,6
candido,manco,0.4959513503716709,6
franky,boy,0.4945945945945947,6
carmine,camille,0.3520851657823203,6
carmine,irene,0.34395104115579417,6
manco,boy,0.34395104115579417,6
franky,manco,0.34395104115579417,6
camilla,camille,0.2529121637430942,6
cedric,camille,0.21161692216414552,6
camilla,irene,0.16556034061826588,6
marco,cedric,0.13440204527623859,6
elinor,camille,0.11898958573941072,6
irene,protagonist,0.11212602006458208,6
marco,camille,0.11206310514564424,6
camille,irene,0.09241411895356129,6
marco,manco,0.08181680188713225,6
carmine,protagonist,0.07885533659845732,6
franky,protagonist,0.07885533659845732,6
marco,camilla,0.03563483225498991,6
cedric,manco,0.02381696954123483,6
maria,gypsy,-0.005376344086021504,6
andy,gypsy,-0.005376344086021504,6
candido,gypsy,-0.005376344086021504,6
carmine,gypsy,-0.00762382048370763,6
boy,gypsy,-0.00762382048370763,6
franky,gypsy,-0.00762382048370763,6
maria,carmine,-0.00762382048370763,6
andy,carmine,-0.00762382048370763,6
candido,carmine,-0.00762382048370763,6
elinor,gypsy,-0.009362573578414227,6
maria,elinor,-0.009362573578414227,6
andy,elinor,-0.009362573578414227,6
candido,elinor,-0.009362573578414227,6
boy,carmine,-0.010810810810810811,6
franky,carmine,-0.010810810810810811,6
irene,gypsy,-0.01084046667479062,6
manco,gypsy,-0.01084046667479062,6
maria,irene,-0.01084046667479062,6
andy,irene,-0.01084046667479062,6
candido,irene,-0.01084046667479062,6
elinor,carmine,-0.013276415922284169,6
boy,elinor,-0.013276415922284169,6
franky,elinor,-0.013276415922284169,6
camilla,gypsy,-0.014459600540461868,6
maria,camilla,-0.014459600540461868,6
andy,camilla,-0.014459600540461868,6
candido,camilla,-0.014459600540461868,6
boy,irene,-0.015372113571208674,6
franky,irene,-0.015372113571208674,6
manco,carmine,-0.015372113571208674,6
elinor,irene,-0.018878008037275875,6
manco,elinor,-0.018878008037275875,6
boy,camilla,-0.02050415617430818,6
franky,camilla,-0.02050415617430818,6
camille,gypsy,-0.021653341931540285,6
maria,camille,-0.021653341931540285,6
andy,camille,-0.021653341931540285,6
candido,camille,-0.021653341931540285,6
manco,irene,-0.021857923497267753,6
cedric,camilla,-0.022402005775200535,6
marco,gypsy,-0.02318694478800841,6
marco,maria,-0.02318694478800841,6
marco,andy,-0.02318694478800841,6
marco,candido,-0.02318694478800841,6
elinor,camilla,-0.025180507759266748,6
camilla,protagonist,-0.027227058991245112,6
manco,camilla,-0.029155280108877003,6
boy,camille,-0.030705101667062813,6
franky,camille,-0.030705101667062813,6
marco,carmine,-0.032879797461071454,6
marco,boy,-0.032879797461071454,6
marco,franky,-0.032879797461071454,6
cedric,gypsy,-0.03518485422985299,6
cedric,maria,-0.03518485422985299,6
cedric,andy,-0.03518485422985299,6
cedric,candido,-0.03518485422985299,6
protagonist,gypsy,-0.03641654671371205,6
maria,protagonist,-0.03641654671371205,6
andy,protagonist,-0.03641654671371205,6
candido,protagonist,-0.03641654671371205,6
marco,elinor,-0.04037864265436242,6
manco,camille,-0.04366021367884784,6
marco,irene,-0.04675245822121843,6
camille,protagonist,-0.04783240639872295,6
cedric,carmine,-0.04989320030525059,6
cedric,boy,-0.04989320030525059,6
cedric,franky,-0.04989320030525059,6
boy,protagonist,-0.05163977794943223,6
cedric,elinor,-0.06127226630253667,6
elinor,protagonist,-0.06341718324267316,6
cedric,irene,-0.07094416459091221,6
manco,protagonist,-0.07342765915733694,6
marco,protagonist,-0.11036385359428232,6
cedric,protagonist,-0.20390949669458935,6
