Source,Target,Weight,Interval
miguel,wenceslao,0.9999999999999999,11
madame,camille,0.7049991556901395,11
wenceslao,manco,0.7049991556901395,11
miguel,manco,0.7049991556901395,11
camille,nim,0.5264598425167112,11
madame,irene,0.3711537444790451,11
madame,nim,0.3711537444790451,11
boy,irene,0.3254440587393815,11
madame,boy,0.3076407923908289,11
maria,cedric,0.2924001291002374,11
manco,rosaria,0.2689893853317593,11
camille,irene,0.2518557888583032,11
candido,andy,0.24720661623652213,11
camille,boy,0.20446287953334924,11
manco,boy,0.20446287953334924,11
franky,protagonist,0.20205860172289825,11
camilla,protagonist,0.18963728954849987,11
wenceslao,rosaria,0.18963728954849987,11
miguel,rosaria,0.18963728954849987,11
marco,rosaria,0.18963728954849987,11
maria,rosaria,0.18963728954849987,11
camille,andy,0.17375160649180496,11
cedric,franky,0.1461838349716454,11
boy,rosaria,0.11350711286715853,11
camille,rosaria,0.1122335021556651,11
nim,irene,0.1058201058201058,11
irene,rosaria,0.08557615553456072,11
nim,rosaria,0.08557615553456072,11
nim,boy,0.07372760140777751,11
andy,rosaria,0.07340252743933792,11
andy,irene,0.051434449987363955,11
nim,andy,0.051434449987363955,11
candido,protagonist,0.048168294599947835,11
boy,cedric,0.03549184395603688,11
cedric,protagonist,0.0300896552382001,11
rosaria,cedric,0.0300896552382001,11
boy,andy,0.02171861213815347,11
andy,cedric,0.013848874720779197,11
camilla,madame,-0.005952380952380951,11
wenceslao,madame,-0.005952380952380951,11
miguel,madame,-0.005952380952380951,11
marco,madame,-0.005952380952380951,11
maria,madame,-0.005952380952380951,11
wenceslao,camilla,-0.005952380952380951,11
miguel,camilla,-0.005952380952380951,11
marco,camilla,-0.005952380952380951,11
maria,camilla,-0.005952380952380951,11
marco,wenceslao,-0.005952380952380951,11
maria,wenceslao,-0.005952380952380951,11
marco,miguel,-0.005952380952380951,11
maria,miguel,-0.005952380952380951,11
maria,marco,-0.005952380952380951,11
camilla,camille,-0.008443103660959753,11
wenceslao,camille,-0.008443103660959753,11
miguel,camille,-0.008443103660959753,11
marco,camille,-0.008443103660959753,11
maria,camille,-0.008443103660959753,11
manco,madame,-0.008443103660959753,11
manco,camilla,-0.008443103660959753,11
marco,manco,-0.008443103660959753,11
maria,manco,-0.008443103660959753,11
madame,franky,-0.01037174767056278,11
camilla,franky,-0.01037174767056278,11
wenceslao,franky,-0.01037174767056278,11
miguel,franky,-0.01037174767056278,11
marco,franky,-0.01037174767056278,11
maria,franky,-0.01037174767056278,11
manco,camille,-0.011976047904191617,11
candido,madame,-0.012012499502607453,11
camilla,candido,-0.012012499502607453,11
wenceslao,candido,-0.012012499502607453,11
miguel,candido,-0.012012499502607453,11
marco,candido,-0.012012499502607453,11
maria,candido,-0.012012499502607453,11
camille,franky,-0.014711716442283742,11
manco,franky,-0.014711716442283742,11
camilla,irene,-0.016037507477489606,11
wenceslao,irene,-0.016037507477489606,11
miguel,irene,-0.016037507477489606,11
marco,irene,-0.016037507477489606,11
maria,irene,-0.016037507477489606,11
camilla,nim,-0.016037507477489606,11
wenceslao,nim,-0.016037507477489606,11
miguel,nim,-0.016037507477489606,11
marco,nim,-0.016037507477489606,11
maria,nim,-0.016037507477489606,11
candido,camille,-0.017039026792660693,11
manco,candido,-0.017039026792660693,11
camilla,boy,-0.019348477508857164,11
wenceslao,boy,-0.019348477508857164,11
miguel,boy,-0.019348477508857164,11
marco,boy,-0.019348477508857164,11
maria,boy,-0.019348477508857164,11
madame,cedric,-0.020356971013307665,11
camilla,cedric,-0.020356971013307665,11
wenceslao,cedric,-0.020356971013307665,11
miguel,cedric,-0.020356971013307665,11
marco,cedric,-0.020356971013307665,11
candido,franky,-0.02093122310727931,11
madame,andy,-0.022271770159368695,11
camilla,andy,-0.022271770159368695,11
wenceslao,andy,-0.022271770159368695,11
miguel,andy,-0.022271770159368695,11
marco,andy,-0.022271770159368695,11
maria,andy,-0.022271770159368695,11
manco,irene,-0.02274826480010481,11
manco,nim,-0.02274826480010481,11
irene,franky,-0.027944612777976045,11
nim,franky,-0.027944612777976045,11
camille,cedric,-0.028875170770069607,11
manco,cedric,-0.028875170770069607,11
madame,protagonist,-0.03138824102871723,11
wenceslao,protagonist,-0.03138824102871723,11
miguel,protagonist,-0.03138824102871723,11
marco,protagonist,-0.03138824102871723,11
maria,protagonist,-0.03138824102871723,11
madame,rosaria,-0.03138824102871723,11
camilla,rosaria,-0.03138824102871723,11
manco,andy,-0.03159120118032817,11
candido,irene,-0.032365292500196416,11
candido,nim,-0.032365292500196416,11
boy,franky,-0.03371382445727951,11
andy,franky,-0.03880752628531665,11
candido,boy,-0.03904716084382818,11
candido,cedric,-0.04108240150088805,11
camille,protagonist,-0.04452238102042914,11
manco,protagonist,-0.04452238102042914,11
andy,protagonist,-0.05382852012218116,11
rosaria,franky,-0.05469255384980705,11
irene,cedric,-0.05484781257395343,11
nim,cedric,-0.05484781257395343,11
candido,rosaria,-0.06334460659719168,11
irene,protagonist,-0.08456937723415416,11
nim,protagonist,-0.08456937723415416,11
boy,protagonist,-0.10202886549856946,11
rosaria,protagonist,-0.11695402298850578,11
