Source,Target,Weight,Interval
madame,franky,0.7053800221226542,7
camille,rosaria,0.36480407428827566,7
camilla,marco,0.3234811165845648,7
manco,camille,0.30608564265886207,7
madame,rosaria,0.2808234118051523,7
maria,rosaria,0.2808234118051523,7
camille,marco,0.24414154582261052,7
elinor,camille,0.24414154582261052,7
franky,rosaria,0.18674535939826895,7
manco,rosaria,0.18674535939826895,7
camille,cedric,0.168971826639776,7
madame,protagonist,0.15177361546824775,7
marco,cedric,0.15113365262738915,7
camilla,cedric,0.15113365262738915,7
pacha,cedric,0.14685404454064616,7
madame,cedric,0.14685404454064616,7
gurula,cedric,0.14685404454064616,7
marco,rosaria,0.14277388824408122,7
elinor,rosaria,0.14277388824408122,7
rosaria,cedric,0.09545746381258842,7
camille,protagonist,0.09354686612081102,7
franky,protagonist,0.08480061575029313,7
manco,protagonist,0.08480061575029313,7
franky,cedric,0.08055023867385652,7
manco,cedric,0.08055023867385652,7
elinor,cedric,0.046658711549395306,7
boy,protagonist,0.02788112529076713,7
eleanor,pacha,-0.004878048780487804,7
madame,pacha,-0.004878048780487804,7
candido,pacha,-0.004878048780487804,7
gurula,pacha,-0.004878048780487804,7
mil,pacha,-0.004878048780487804,7
maria,pacha,-0.004878048780487804,7
madame,eleanor,-0.004878048780487804,7
candido,eleanor,-0.004878048780487804,7
gurula,eleanor,-0.004878048780487804,7
mil,eleanor,-0.004878048780487804,7
maria,eleanor,-0.004878048780487804,7
candido,madame,-0.004878048780487804,7
gurula,madame,-0.004878048780487804,7
mil,madame,-0.004878048780487804,7
maria,madame,-0.004878048780487804,7
gurula,candido,-0.004878048780487804,7
mil,candido,-0.004878048780487804,7
maria,candido,-0.004878048780487804,7
mil,gurula,-0.004878048780487804,7
maria,gurula,-0.004878048780487804,7
maria,mil,-0.004878048780487804,7
rosaria,protagonist,-0.005298620270556903,7
franky,pacha,-0.006915490412967197,7
manco,pacha,-0.006915490412967197,7
franky,eleanor,-0.006915490412967197,7
manco,eleanor,-0.006915490412967197,7
candido,franky,-0.006915490412967197,7
gurula,franky,-0.006915490412967197,7
mil,franky,-0.006915490412967197,7
maria,franky,-0.006915490412967197,7
manco,madame,-0.006915490412967197,7
candido,manco,-0.006915490412967197,7
gurula,manco,-0.006915490412967197,7
mil,manco,-0.006915490412967197,7
maria,manco,-0.006915490412967197,7
marco,pacha,-0.00849054714636503,7
camilla,pacha,-0.00849054714636503,7
elinor,pacha,-0.00849054714636503,7
marco,eleanor,-0.00849054714636503,7
camilla,eleanor,-0.00849054714636503,7
elinor,eleanor,-0.00849054714636503,7
madame,marco,-0.00849054714636503,7
candido,marco,-0.00849054714636503,7
gurula,marco,-0.00849054714636503,7
mil,marco,-0.00849054714636503,7
maria,marco,-0.00849054714636503,7
madame,camilla,-0.00849054714636503,7
candido,camilla,-0.00849054714636503,7
gurula,camilla,-0.00849054714636503,7
mil,camilla,-0.00849054714636503,7
maria,camilla,-0.00849054714636503,7
elinor,madame,-0.00849054714636503,7
elinor,candido,-0.00849054714636503,7
elinor,gurula,-0.00849054714636503,7
elinor,mil,-0.00849054714636503,7
elinor,maria,-0.00849054714636503,7
manco,franky,-0.009803921568627449,7
boy,pacha,-0.009828276825374533,7
boy,eleanor,-0.009828276825374533,7
boy,madame,-0.009828276825374533,7
candido,boy,-0.009828276825374533,7
gurula,boy,-0.009828276825374533,7
mil,boy,-0.009828276825374533,7
maria,boy,-0.009828276825374533,7
camille,pacha,-0.01101564782602729,7
camille,eleanor,-0.01101564782602729,7
madame,camille,-0.01101564782602729,7
candido,camille,-0.01101564782602729,7
gurula,camille,-0.01101564782602729,7
mil,camille,-0.01101564782602729,7
maria,camille,-0.01101564782602729,7
franky,marco,-0.012036840965264342,7
manco,marco,-0.012036840965264342,7
franky,camilla,-0.012036840965264342,7
manco,camilla,-0.012036840965264342,7
elinor,franky,-0.012036840965264342,7
elinor,manco,-0.012036840965264342,7
boy,franky,-0.01393330760318238,7
boy,manco,-0.01393330760318238,7
elinor,marco,-0.014778325123152709,7
elinor,camilla,-0.014778325123152709,7
franky,camille,-0.015616614421370512,7
boy,marco,-0.01710672678944071,7
boy,camilla,-0.01710672678944071,7
elinor,boy,-0.01710672678944071,7
rosaria,pacha,-0.017370520317844473,7
eleanor,rosaria,-0.017370520317844473,7
candido,rosaria,-0.017370520317844473,7
gurula,rosaria,-0.017370520317844473,7
mil,rosaria,-0.017370520317844473,7
camille,camilla,-0.019173419829000827,7
boy,camille,-0.02219429143023144,7
camilla,rosaria,-0.03023447045168779,7
pacha,protagonist,-0.03214029504033481,7
eleanor,protagonist,-0.03214029504033481,7
candido,protagonist,-0.03214029504033481,7
gurula,protagonist,-0.03214029504033481,7
mil,protagonist,-0.03214029504033481,7
maria,protagonist,-0.03214029504033481,7
eleanor,cedric,-0.03321698626514615,7
candido,cedric,-0.03321698626514615,7
mil,cedric,-0.03321698626514615,7
maria,cedric,-0.03321698626514615,7
boy,rosaria,-0.034998067868336515,7
marco,protagonist,-0.05594218151929921,7
camilla,protagonist,-0.05594218151929921,7
elinor,protagonist,-0.05594218151929921,7
boy,cedric,-0.06692547594529664,7
protagonist,cedric,-0.11998835881418422,7
