Source,Target,Weight,Interval
madame,candido,0.21975416670136194,3
rosaria,irina,0.18928283654851283,3
irina,candido,0.1866934835855604,3
madame,irina,0.1551153640547199,3
madame,rosaria,0.1490345495142926,3
mil,boy,0.14133878647038903,3
mil,madame,0.11689291911653221,3
franky,boy,0.07740161777800288,3
boy,candido,0.04978588156655739,3
franky,protagonist,0.044374798076433915,3
mil,rosaria,0.041115310878810894,3
franky,candido,0.02125387068489624,3
rosaria,candido,0.020035322846589033,3
boy,rosaria,0.013882521845753306,3
candido,protagonist,0.005233763145385374,3
boy,protagonist,0.0036264866684532025,3
madame,protagonist,-0.016887091779279866,3
mil,gypsy,-0.017617760890348597,3
gypsy,boy,-0.020963722222506212,3
gypsy,madame,-0.02390684913789432,3
gypsy,franky,-0.025272759166551736,3
gypsy,irina,-0.026583234938625,3
gypsy,candido,-0.030254945568308864,3
gypsy,rosaria,-0.038857433532018565,3
mil,franky,-0.0402950732372285,3
gypsy,protagonist,-0.041813562538591274,3
mil,irina,-0.04238450545407935,3
boy,madame,-0.04535647728106717,3
mil,candido,-0.04823870790795445,3
boy,irina,-0.05043416154912056,3
franky,madame,-0.05467937968272447,3
franky,irina,-0.06080076834969186,3
mil,protagonist,-0.06666785188345772,3
franky,rosaria,-0.08887412763339221,3
irina,protagonist,-0.10059434797087562,3
rosaria,protagonist,-0.14704147930075917,3
