Source,Target,Weight,Interval
wenceslao,gypsy,1,4
miguel,gypsy,0.5744562646538028,4
miguel,wenceslao,0.5744562646538028,4
guatavita,k’ak’a,0.3701401325618237,4
candido,boy,0.36154187707055185,4
irina,rosaria,0.3473110997362451,4
candido,rosaria,0.3354400910842494,4
miguel,manco,0.31247895552036403,4
k’ak’a,manco,0.2674401431514465,4
camille,franky,0.22066714931604495,4
guatavita,manco,0.1921565990843618,4
manco,gypsy,0.17950549357115012,4
wenceslao,manco,0.17950549357115012,4
gypsy,protagonist,0.1757636399909183,4
wenceslao,protagonist,0.1757636399909183,4
k’ak’a,miguel,0.17174502150868617,4
candido,madame,0.16723728538290233,4
madame,boy,0.11192930780559646,4
rosaria,boy,0.10013697533192407,4
rosaria,madame,0.10013697533192407,4
k’ak’a,boy,0.09008600592448644,4
madame,camille,0.09008600592448644,4
boy,protagonist,0.08031844063707456,4
rosaria,camille,0.07897582897975637,4
miguel,protagonist,0.0689748194001473,4
manco,boy,0.004750888684882835,4
gypsy,irina,-0.005,4
wenceslao,irina,-0.005,4
irina,franky,-0.007088812050083359,4
gypsy,franky,-0.007088812050083359,4
wenceslao,franky,-0.007088812050083359,4
rosaria,protagonist,-0.008410118609569023,4
miguel,irina,-0.008703882797784892,4
guatavita,irina,-0.008703882797784892,4
guatavita,gypsy,-0.008703882797784892,4
guatavita,wenceslao,-0.008703882797784892,4
candido,irina,-0.010075854437197565,4
gypsy,candido,-0.010075854437197565,4
wenceslao,candido,-0.010075854437197565,4
miguel,franky,-0.01234003785189016,4
guatavita,franky,-0.01234003785189016,4
irina,boy,-0.013431767237933386,4
gypsy,boy,-0.013431767237933386,4
wenceslao,boy,-0.013431767237933386,4
irina,madame,-0.013431767237933386,4
gypsy,madame,-0.013431767237933386,4
wenceslao,madame,-0.013431767237933386,4
candido,franky,-0.014285167669858396,4
gypsy,rosaria,-0.01439631501497389,4
wenceslao,rosaria,-0.01439631501497389,4
guatavita,miguel,-0.015151515151515152,4
irina,camille,-0.01530931089239486,4
gypsy,camille,-0.01530931089239486,4
wenceslao,camille,-0.01530931089239486,4
k’ak’a,irina,-0.01530931089239486,4
k’ak’a,gypsy,-0.01530931089239486,4
k’ak’a,wenceslao,-0.01530931089239486,4
miguel,candido,-0.017539811221781693,4
guatavita,candido,-0.017539811221781693,4
camille,protagonist,-0.017627723907282816,4
franky,boy,-0.01904305469003541,4
madame,franky,-0.01904305469003541,4
rosaria,franky,-0.020410554270988583,4
k’ak’a,franky,-0.021704965506496223,4
miguel,boy,-0.023381705561219813,4
guatavita,boy,-0.023381705561219813,4
miguel,madame,-0.023381705561219813,4
guatavita,madame,-0.023381705561219813,4
miguel,rosaria,-0.02506076772206472,4
guatavita,rosaria,-0.02506076772206472,4
miguel,camille,-0.026650089544451302,4
guatavita,camille,-0.026650089544451302,4
manco,irina,-0.027854300726557774,4
irina,protagonist,-0.028447294333790247,4
candido,camille,-0.030850877617114757,4
k’ak’a,candido,-0.030850877617114757,4
manco,franky,-0.039490780527413685,4
franky,protagonist,-0.04033150457312808,4
camille,boy,-0.04112622009596121,4
k’ak’a,madame,-0.04112622009596121,4
k’ak’a,rosaria,-0.044079532453817495,4
k’ak’a,camille,-0.046875,4
guatavita,protagonist,-0.04952038315908011,4
manco,candido,-0.056131175914144515,4
candido,protagonist,-0.05732615936787713,4
manco,protagonist,-0.07420696822632937,4
manco,madame,-0.07482649678690456,4
madame,protagonist,-0.07641948720809036,4
manco,rosaria,-0.08019985755626838,4
manco,camille,-0.08528602990262663,4
k’ak’a,protagonist,-0.08710169460069155,4
